class_gt,class_pred,smiles
1.7.9,8.1.5,CC(C)=O.CC1CCC(C(C)C)C(OCCl)C1.CCN(CC)CC.CCOC(C)=O.O.O=C(O)c1ccc(O)cc1>>CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCOC(=O)c1ccc(O)cc1
1.6.2,1.3.6,CC1(C)NN(C2CC3CCC2C3)C1=O.Clc1cccc(Br)c1Cl>>CC1(C)C(=O)N(C2CC3CCC2C3)N1c1cccc(Cl)c1Cl
1.8.5,1.6.2,C1CCNCC1.Cc1ccc(S)c(C(C)C)c1.ClCCl.O=C1OC(CCc2ccccc2)(c2ccccc2)CC(O)=C1Br>>Cc1ccc(SC2=C(O)CC(CCc3ccccc3)(c3ccccc3)OC2=O)c(C(C)C)c1
2.1.1,1.6.4,CC(C)c1csc(C(=O)Cl)n1.COc1ccc(C(C)=O)c(N)c1F.COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1>>COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1F
2.1.2,9.3.1,CN(C)C=O.Cc1nocc1C(=O)O.ClCCl.O=C(Cl)C(=O)Cl.O=C1c2cccn2CC2(c3ccc(OC(F)F)cc3)NCCN12.[Cl-].c1ccncc1>>Cc1nocc1C(=O)N1CCN2C(=O)c3cccn3CC12c1ccc(OC(F)F)cc1.[Cl-]
1.7.9,8.1.5,BrCCCCBr.Cc1ccccc1.OC1CCCC1.[H-].[Na+]>>BrCCCCOC1CCCC1
1.7.9,1.6.4,COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OC(C)(C)C)CC2O)cc1.Cn1cnc2c(CCl)cccc21>>COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OC(C)(C)C)CC2OCc2cccc3c2ncn3C)cc1
2.1.2,7.9.2,C1CCOC1.CC(C)(C)OC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)O.CC(C)COC(=O)Cl.CN1CCOCC1.COC(=O)C(N)C(=O)c1ccccc1>>COC(=O)C(NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)OC(C)(C)C)C(=O)c1ccccc1
1.7.9,10.1.1,CCc1nc(N)sc1Br.CO.C[O-].[Na+].[Na]>>CCc1nc(N)sc1OC
1.2.4,1.7.7,C1CCOC1.CC(C)OC(=O)/N=N/C(=O)OC(C)C.CO.COc1c(C)cnc(CN2c3nc(N)ncc3NC(=O)[C@@H]2C)c1C.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>COc1c(C)cnc(CN2c3nc(N)ncc3N(C)C(=O)[C@@H]2C)c1C
1.3.7,1.3.8,CN1CCNCC1.O=C(c1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1>>CN1CCN(c2ccc(C(=O)c3ccccc3)cc2[N+](=O)[O-])CC1
1.7.9,1.6.2,CC(C)(C)OC(=O)CBr.C[C@H](Nc1ccc(Cl)c(Cl)c1)C(=O)O>>C[C@H](Nc1ccc(Cl)c(Cl)c1)C(=O)OCC(=O)OC(C)(C)C
10.4.2,1.2.4,CC(=O)O.CCCC[O-].CN(C)C=O.O=[N+]([O-])C=C1C[N+]([O-])=C(c2ccccc2F)c2cc(Cl)ccc2N1.[K]>>CC1C(=C[N+](=O)[O-])Nc2ccc(Cl)cc2C(c2ccccc2F)=[N+]1[O-]
3.1.5,1.3.6,CB1OB(C)OB(C)O1.CCc1sc(C(=O)OC)cc1-c1c(Br)cnn1C.CN(C)C=O.O=C([O-])[O-].[K+].[K+]>>CCc1sc(C(=O)OC)cc1-c1c(C)cnn1C
2.1.2,1.6.4,CCN(CC)CC.ClCCl.Cn1cc[n+](C)c1Cl.O=C1CC[C@@H](C(=O)O)N1.OC[C@@H]1CCCN1.[Cl-]>>O=C1CC[C@@H](C(=O)N2CCC[C@H]2CO)N1
6.3.1,1.7.7,O.O=C(CC(C(=O)OCc1ccccc1)N1C=CN(c2ccc(-c3ccccc3)cc2)C1)OCc1ccccc1>>O=C(CC(C(=O)O)N1C=CN(c2ccc(-c3ccccc3)cc2)C1)OCc1ccccc1
1.7.9,6.3.1,COc1cccc(CCl)c1.O=[N+]([O-])c1cc(O)ccc1Cl>>COc1cccc(COc2ccc(Cl)c([N+](=O)[O-])c2)c1
10.4.2,1.7.6,CCO.CCO.CC[O-].COC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1.O.[Na+]>>CCOC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1
1.6.2,1.3.6,CN(C)S(=O)(=O)n1cc(CC(C)(C)C)nc1C(=O)Cc1ccc(Br)cc1.Cc1ccccc1.O=C([O-])[O-].[Cu]I.[K+].[K+].c1cn[nH]c1>>CN(C)S(=O)(=O)n1cc(CC(C)(C)C)nc1C(=O)Cc1ccc(-n2cccn2)cc1
2.1.2,2.3.1,CC#N.Cc1cc(N2CCN(C(=O)C(C)(C)C)CC2)ncc1N.Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)O)cc1.O=C([O-])[O-].[K+].[K+]>>Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cnc(N3CCN(C(=O)C(C)(C)C)CC3)cc2C)cc1
2.1.7,2.1.1,COc1ccccc1NCN1C(=O)CN(C)C1=O.Cc1ccccc1.O=C(Cl)CCl.c1ccncc1>>COc1ccccc1N(CN1C(=O)CN(C)C1=O)C(C)=O
1.3.7,1.2.4,C1CN2CCC(CC2)N1.CCN(C(C)C)C(C)C.CO.ClC(Cl)Cl.Clc1nc2ccccc2o1.O=C([O-])O.[Na+]>>c1ccc2oc(N3CCN4CCC3CC4)nc2c1
3.1.5,3.1.6,CC(=O)N(C)C.CCCCCCCCBr.COc1ccc(B(O)O)cc1.Cl.Cn1ccnc1Cc1nccn1C.O=P([O-])([O-])[O-].[K+].[K+].[K+]>>CCCCCCCCc1ccc(OC)cc1
10.4.2,8.1.4,C1CCOC1.CCO.C[Mg+].O=Cc1cccc(OCc2ccc3ccc(Cl)cc3n2)c1.[Br-]>>CC(=O)c1cccc(OCc2ccc3ccc(Cl)cc3n2)c1
2.1.2,2.1.7,CC(=O)O.CC(=O)OC(C)=O.N=C(N)Nc1nc(-c2cccc(N)c2)cs1>>CC(=O)Nc1cccc(-c2csc(NC(=N)N)n2)c1.CC(=O)O.CC(=O)O
1.7.9,1.6.2,C=CCBr.C=CCn1c(=O)c2ccc(NC(=O)CC3CCCC3)cc2n1Cc1ccc(C(=O)OC)cc1OC.CN(C)C=O.COC(=O)c1ccc(Cn2nc(O)c3ccc(NC(=O)CC4CCCC4)cc32)c(OC)c1.[H-].[Na+]>>C=CCOc1nn(Cc2ccc(C(=O)OC)cc2OC)c2cc(NC(=O)CC3CCCC3)ccc12
1.7.7,2.6.1,CC(=O)Cl.CCOC(C)=O.C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O.OC1CCCCC1>>C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)OC1CCCCC1
1.6.4,2.1.1,CC(=O)Cl.CCC(=O)c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1.CCN(CC)CC.ClCCl>>CCC(=O)c1ccc(CCN(C(C)=O)S(=O)(=O)c2ccc(Cl)cc2)cc1
1.3.7,7.3.1,CCO.COc1ccc(CN)c2ccccc12.O=c1[nH]ncc(Cl)c1Cl>>COc1ccc(CNc2cn[nH]c(=O)c2Cl)c2ccccc12
1.7.9,1.7.7,CCCO.C[C@H](Cc1ccc(O)cc1)NCC(O)COc1ccccc1.ClCCN1CCN(c2ccccc2)CC1.[K+].[OH-]>>C[C@H](Cc1ccc(OCCN2CCN(c3ccccc3)CC2)cc1)NC[C@H](O)COc1ccccc1
6.3.7,1.7.4,COc1cc(Cl)c(CN2CCCCC2)c(OC)c1.I.O=C([O-])[O-].[Na+].[Na+]>>COc1cc(O)cc(Cl)c1CN1CCCCC1
8.2.1,1.8.5,CS(=O)c1ccc(Br)cn1.CSc1ccc(Br)nc1>>CS(=O)c1ccc(Br)nc1
1.6.4,8.1.5,CC(C)O.Cc1cccc(C)c1NCC(C)Cl.Cc1cccc(N)c1C.[I-].[K+]>>Cc1cccc(NC(C)CNc2c(C)cccc2C)c1C.Cl.Cl
1.6.2,1.6.8,C1COCCO1.CC(=O)OCc1c(Br)cc(F)cc1Br.CNCCNC.O=C([O-])[O-].O=c1[nH]ncc2c3c(sc12)CCCC3.[Cs+].[Cs+].[Cu]I>>CC(=O)OCc1c(Br)cc(F)cc1-n1ncc2c3c(sc2c1=O)CCCC3
1.7.9,1.6.2,C1CCOC1.C1COCCOCCOCCOCCOCCO1.CC(C)(C)[Si](C)(C)O[C@@H]1CC2=CC[C@H]3[C@@H]4CC[C@H](CO)[C@@]4(C)CC[C@@H]3[C@@]2(C)[C@@H](O[Si](C)(C)C(C)(C)C)C1.CCC(CC)(CCCBr)O[Si](CC)(CC)CC.[Cl-].[KH].[NH4+]>>CCC(CC)(CCCOC[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H](O[Si](C)(C)C(C)(C)C)[C@]4(C)[C@H]3CC[C@]12C)O[Si](CC)(CC)CC
6.2.2,1.7.6,CC(C)=O.COC(=O)CCCCN1CCCCC1.Cl.O>>Cl.O=C(O)CCCCN1CCCCC1
1.7.9,1.6.4,C1CCC2=NCCCN2CC1.CC#N.FC(F)=CCCCCCl.O=C(O)c1ccc(Cl)cc1>>O=C(OCCCCC=C(F)F)c1ccc(Cl)cc1
2.1.2,2.1.1,C1CCOC1.CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)O)CCCN3C=O)cc1.CCCn1cncc1CS(=O)c1ccc(N)cc1.CN(C)C=O.O.O=C(Cl)C(=O)Cl.c1ccncc1>>CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(S(=O)Cc4cncn4CCC)cc2)CCCN3C=O)cc1
1.6.4,1.2.4,CCOCC.CN(C)C=O.COCCl.O.O=C(NCc1ccc(Br)cc1Cl)c1cccc2c1cnn2-c1ccc(F)cc1.[H-].[Na+]>>COCN(Cc1ccc(Br)cc1Cl)C(=O)c1cccc2c1cnn2-c1ccc(F)cc1
6.2.2,1.7.6,COC(=O)Cc1ccc(OC)c(Oc2ccc(Br)cc2CN2C(=O)O[C@H](c3ccccc3)[C@@H]2C)c1.OB(O)c1ccccc1>>COc1ccc(CC(=O)O)cc1Oc1ccc(Br)cc1CN1C(=O)O[C@H](c2ccccc2)[C@@H]1C
1.7.9,1.6.2,CCCCCCC[C@@H]1CC[C@@H](CBr)CC1.CN(C)C=O.O=C([O-])[O-].Oc1ccc(O)cc1.[K+].[K+]>>CCCCCCC[C@@H]1CC[C@@H](COc2ccc(O)cc2)CC1
1.6.2,1.7.9,BrCC1CC1.CCO.COc1ccc2c(c1)[C@]13CCN[C@H](C2)[C@]1(OC)[C@H](C)CC(=O)C3.Cl.O=C([O-])[O-].[Na+].[Na+]>>COc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(OC)[C@H](C)CC(=O)C3
1.7.9,1.6.4,C1CCOC1.ClCc1ccccn1.O[C@H]1CCOC1.[H-].[Na+]>>c1ccc(CO[C@H]2CCOC2)nc1
1.6.2,10.4.2,C1CCOC1.CC(=O)O.CCCCCC.FC(F)(F)c1cc(CBr)n(-c2ccccc2Cl)n1.Nc1ccc(Br)cc1.[Li]CCCC>>FC(F)(F)c1cc(CNc2ccc(Br)cc2)n(-c2ccccc2Cl)n1
5.1.1,6.1.1,C1COCCO1.Nc1ccc(Cl)c(CO)c1.O.O=C([O-])[O-].[Na+].[Na+]>>CC(C)(C)OC(=O)Nc1ccc(Cl)c(CO)c1
2.1.2,9.3.1,CC(C)(C)OC(=O)N1CCCC1C(=O)O.CCOC(C)=O.CCOCC.Nc1ccc(Br)cc1Cl.O=C(Cl)C(=O)Cl.c1ccncc1>>CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1ccc(Br)cc1Cl
1.7.9,1.7.7,CN(C)C(=S)Cl.CN(C)C=O.O.O=C1c2cccc3cc(O)cc(c23)C(=O)N1OCc1ccccc1.[Na+].[OH-]>>CN(C)C(=S)Oc1cc2c3c(cccc3c1)C(=O)N(OCc1ccccc1)C2=O
2.1.2,9.3.1,CC(C)(C)OC(=O)N1CCC(N)CC1.CC(C)Oc1cc(Cl)c(C(=O)Cl)cc1[N+](=O)[O-].CC(C)Oc1cc(Cl)c(C(=O)O)cc1[N+](=O)[O-].CCN(CC)CC.CN(C)C=O.ClCCl.O=S(Cl)Cl>>CC(C)Oc1cc(Cl)c(C(=O)NC2CCN(C(=O)OC(C)(C)C)CC2)cc1[N+](=O)[O-]
1.7.9,6.2.2,BrCCCCCCBr.CCCCCC.O.OCCSc1ccc2ccccc2c1.[Na+].[OH-]>>BrCCCCCCOCCSc1ccc2ccccc2c1
10.4.2,6.2.3,CC(Br)C(=O)OC(C)(C)C.Cc1cc(-c2nc3ccc(Oc4ccccc4F)nc3o2)cc(C)c1O.Cc1cc(-c2nc3ccc(Oc4ccccc4F)nc3o2)cc(C)c1OCC(=O)O>>Cc1cc(-c2nc3ccc(Oc4ccccc4F)nc3o2)cc(C)c1OC(C)C(=O)O
2.1.2,1.2.5,CCOC(=O)[C@@](C)(F)C(=O)O.N[C@@H]1C(=O)N(CC2CC2)c2ccccc2-c2ccccc21>>CCOC(=O)[C@@](C)(F)C(=O)N[C@@H]1C(=O)N(CC2CC2)c2ccccc2-c2ccccc21
1.7.7,8.1.5,CC(C(=O)O[C@H]1C[N+]2(CC(=O)Nc3ccon3)CCC1CC2)(c1ccccc1)c1ccccc1.O=C(C[N+]12CCC(CC1)[C@@H](O)C2)Nc1ccon1.O=C(C[N+]12CCC(CC1)[C@@H](O)C2)Nc1cnccn1.O=C(O)C(O)(c1ccccc1)C1CCCC1.[Br-].[Br-].[Br-]>>O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1ccccc1)C1CCCC1)C2)Nc1cnccn1.[Br-]
10.4.2,1.8.5,C1CCOC1.CI.O=C([O-])[O-].Sc1nc2ccc(I)cc2s1.[K+].[K+]>>CSc1nc2ccc(I)cc2s1
1.7.9,1.6.8,CCI.CCOC(=O)Cc1ccc(O)c(Br)c1>>CCOC(=O)Cc1ccc(OCC)c(Br)c1
1.7.9,6.2.1,CC(C)=O.CCI.Cc1nnnn1-c1ncccc1C(=O)O.O=C([O-])[O-].[K+].[K+]>>CCOC(=O)c1cccnc1-n1nnnc1C
1.7.9,1.7.4,C1CCOC1.CCCC[Sn](CI)(CCCC)CCCC.OCCc1ccccc1.[KH]>>CCCC[Sn](CCCC)(CCCC)COCCc1ccccc1
6.2.2,3.1.1,CCO.COC(=O)[C@@](N)(OC)[C@H](C#Cc1ccccc1)S(=O)(=O)c1ccc(-c2ccc(OC)cc2)cc1.COc1ccc(B(O)O)cc1.O.O=C([O-])[O-].[Na+].[Na+].c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.c1ccccc1>>COc1ccc(-c2ccc(S(=O)(=O)[C@@H](C#Cc3ccccc3)[C@](N)(OC)C(=O)O)cc2)cc1
7.9.2,8.1.4,COC(=O)c1ccc(C(=O)OC)c(Br)c1.O=C(O)c1ccc(C(=O)O)c(Br)c1.O=Cc1ccc(C=O)c(Br)c1>>O=C(O)c1ccc(CO)c(Br)c1
1.7.9,1.7.6,CCOC(C)=O.CCOc1cc(O)cc2c1C(=O)N(CCl)S2(=O)=O.CO.O=C(O)c1c(Cl)cccc1Cl.O=C([O-])[O-].[Cs+].[Cs+]>>CCOc1cc(O)cc2c1C(=O)N(COC(=O)c1c(Cl)cccc1Cl)S2(=O)=O
10.1.1,10.1.5,CC(C)(C#N)N=NC(C)(C)C#N.ClC(Cl)(Cl)Cl.O=C1C=C(c2ccccc2)c2ccc(OCCCc3ccccc3)cc21.O=C1CCC(=O)N1Br.[W]>>O=C1C(Br)=C(c2ccccc2)c2ccc(OCCCc3ccccc3)cc21
10.1.1,10.1.2,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1.CN1C(=O)N(C)C(Br)(Br)C1=O>>CC(=O)O[C@H]1CC[C@@]2(C)C(=C[C@@H](Br)[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
1.7.4,2.6.3,CC1(O)OC(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1.CCN(CC)CC.CO.O=S(=O)(O)O>>COC1(C)OC(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
10.1.2,10.4.2,C=CCC1C(=O)CCCC1=O.CC(C)(C)OCl.CO>>C=CCC1(Cl)C(=O)CCCC1=O
1.7.9,6.3.7,CNC.CO.Cl.O.O=C(O)c1ccc(Cl)cc1Cl.[Cu]>>COc1cc(Cl)ccc1C(=O)O
1.7.9,1.7.6,CC#N.CCN(C(C)C)C(C)C.CCOC(C)=O.COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(CCl)C2=O.Cc1nn(-c2ccccc2)c(C)c1C(=O)O>>COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COC(=O)c1c(C)nn(-c3ccccc3)c1C)C2=O
10.4.2,6.3.7,CC1c2ccccc2-c2sc(Br)cc2N1S(=O)(=O)c1ccc(O)cc1.CCC1c2ccccc2-c2sccc2N1S(=O)(=O)c1ccc(OC)cc1>>CCC1c2ccccc2-c2sc(Br)cc2N1S(=O)(=O)c1ccc(O)cc1
2.1.1,2.6.1,C1CCOC1.CCN(CC)C(=O)Cl.CCN(CC)CC.FC(F)(F)c1cccc(OC2CNC2)c1.O.O=C(O)C(=O)O.[Ca+2].[Cl-].[Cl-]>>CCN(CC)C(=O)N1CC(Oc2cccc(C(F)(F)F)c2)C1
1.6.4,7.3.1,CC#N.C[Si](C)(C)CCl.NCc1ccccc1>>C[Si](C)(C)CNCc1ccccc1
10.4.2,1.8.5,CC(=O)c1cccc(S)c1.CI.CN(C)C=O.O.O=C([O-])[O-].[K+].[K+]>>CSc1cccc(C(C)=O)c1
10.4.2,1.7.4,CNc1nccc(C(OC)OC)n1.Nc1nccc(C=O)n1>>CNc1nccc(C=O)n1
1.7.9,1.3.8,CO.Nc1nc(F)cc(OC(F)(F)F)n1>>COc1cc(OC(F)(F)F)nc(N)n1
2.1.2,9.3.1,C1CCOC1.CCCc1ccc(CCCC(=O)O)cc1.ClCCl.O=C(Cl)C(=O)Cl.O=C1N[C@@H](Cc2ccccc2)CO1.[Cl-].[Li]CCCC>>CCCc1ccc(CCCC(=O)N2C(=O)OC[C@@H]2Cc2ccccc2)cc1
1.7.9,1.7.7,BrCCBr.O.Oc1ccc(Cn2cccn2)cc1.[Na+].[OH-]>>BrCCOc1ccc(Cn2cccn2)cc1
1.7.9,10.4.2,C1CCC2=NCCCN2CC1.CC(C)=O.CC(C)I.CCOC(C)=O.O=C(O)COCC#CCN1C(=O)CCC[C@@H]1/C=C/C(O)Cc1ccccc1>>CC(C)OC(=O)COCC#CCN1C(=O)CCC[C@@H]1/C=C/C(O)Cc1ccccc1
3.1.1,3.1.5,CC(=O)[O-].CC(=O)[O-].CC1(C)OB(c2ccc(N)cc2)OC1(C)C.CN(C)C=O.O=C(NCc1ccccc1Br)C(F)(F)F.O=C([O-])[O-].[K+].[K+].[Pd+2]>>Nc1ccc(-c2ccccc2CNC(=O)C(F)(F)F)cc1
1.7.9,6.3.1,ClCc1ccccc1.O.OCCOCCOCCOCCOCCOCCO.[Na+].[OH-]>>OCCOCCOCCOCCOCCOCCOCc1ccccc1
